Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Buck.ai,United States,Artificial Intelligence,300000,Seed,Jan-20
Seatrec,United States,Marine Technology,970000,Seed,Jan-20
BeeCanvas,United States,B2B Software,1000000,Seed,Jan-20
SmartKarrot,United States,B2B Software,1000000,Angel,Jan-20
Fundraise Up,United States,B2B Software,1250000,Seed,Jan-20
Yac,United States,B2B Software,1250000,Seed,Jan-20
Cloverleaf.me,United States,Human Resources,1300000,Seed,Jan-20
Docket,United States,B2B Software,1500000,Seed,Jan-20
Podsights,United States,Marketing,1500000,Seed,Jan-20
SIMBA Chain,United States,Blockchain,1500000,Seed,Jan-20
Defendify,United States,Cyber Security,2000000,Seed,Jan-20
OpenPhone,United States,B2B Software,2000000,Seed,Jan-20
Punch List,United States,Home Renovation,2000000,Seed,Jan-20
Kloud.io,United States,B2B Software,4000000,Seed,Jan-20
Upflex,United States,CoWorking,4100000,Seed,Jan-20
1Huddle,United States,Human Resources,5000000,Series A,Jan-20
Luxury Presence,United States,Real Estate,5400000,Series A,Jan-20
Lynq,United States,Hardware,6000000,Seed,Jan-20
Stoplight,United States,B2B Software,6000000,Series A,Jan-20
TypingDNA,United States,Artificial Intelligence,7000000,Series A,Jan-20
Ceterus,United States,B2B Software,9100000,Series C,Jan-20
AppOmni,United States,Cyber Security,10000000,Series A,Jan-20
Containous,United States,B2B Software,10000000,Series A,Jan-20
Legalpad,United States,Legal Tech,10000000,Series A,Jan-20
Neighbor,United States,Consumer,10000000,Series A,Jan-20
Otter.ai,United States,Artificial Intelligence,10000000,Series B,Jan-20
AbSci,United States,Biotechnology,10400000,Series D,Jan-20
Feathr,United States,B2B Software,11000000,Series B,Jan-20
Locale,United States,Travel,11000000,Series A,Jan-20
Lily AI,United States,Artificial Intelligence,12500000,Series A,Jan-20
BlueConic,United States,B2B Software,12800000,Series B,Jan-20
Spatial,United States,Augmented Reality,14000000,Series A,Jan-20
Roambee,United States,Logistics,15200000,Series B,Jan-20
Insurify,United States,Artificial Intelligence,23000000,Series A,Jan-20
MURAL,United States,B2B Software,23000000,Series A,Jan-20
Clubhouse,United States,B2B Software,25000000,Series B,Jan-20
CREXi,United States,Real Estate,30000000,Series B,Jan-20
Workboard,United States,B2B Software,30000000,Series C,Jan-20
Modern Health,United States,Human Resources,31000000,Series B,Jan-20
Verbit.ai,United States,Artificial Intelligence,31000000,Series B,Jan-20
Productboard,United States,B2B Software,45000000,Series B,Jan-20
Justworks,United States,B2B Software,50000000,Series E,Jan-20
SECURITI.ai,United States,Artificial Intelligence,50000000,Series B,Jan-20
LaunchDarkly,United States,B2B Software,54000000,Series D,Jan-20
Element Biosciences,United States,Biotechnology,80000000,Series B,Jan-20
Verkada,United States,Computer Vision,80000000,Series C,Jan-20
ActiveCampaign,United States,B2B Software,100000000,Series B,Jan-20
Sisense,United States,B2B Software,100000000,Series F,Jan-20
Joby Aviation,United States,Aerospace,590000000,Series C,Jan-20
Impossible Foods,United States,Food and Beverage,500000000,Series F,Mar-20
Bakkt,United States,Blockchain,300000000,Series B,Mar-20
Via,United States,Automotive,200000000,Series E,Mar-20
HashiCorp,United States,Cyber Security,175000000,Series E,Mar-20
ElevateBio,United States,Biotechnology,170000000,Series B,Mar-20
UserTesting,United States,B2B Software,100000000,Series C,Mar-20
Lyra Health,United States,Employee Benefits,75000000,Series C,Mar-20
Rigetti Computing,United States,Quantum Computing,71000000,Series D,Mar-20
Everlaw,United States,Legal,62000000,Series C,Mar-20
Netlify,United States,Web Development,53000000,Series C,Mar-20
SpotOn,United States,FinTech,50000000,Series B,Mar-20
mParticle,United States,B2B Software,45000000,Series D,Mar-20
Proxy,United States,Augmented Reality,42000000,Series B,Mar-20
Human Interest,United States,Cloud Computing,40000000,Series C,Mar-20
Rancher Labs,United States,FinTech,40000000,Series C,Mar-20
STRIVR,United States,Virtual Reality,30000000,Series B,Mar-20
Orion Labs,United States,Enterprise,29000000,Series B,Mar-20
Sensel,United States,Consumer Electronics,28000000,Series A,Mar-20
Remesh,United States,Artificial Intelligence,25000000,Series A,Mar-20
Airbase,United States,FinTech,23500000,Series A,Mar-20
Sourcegraph,United States,Developer Platform,23000000,Series B,Mar-20
Arkose Labs,United States,B2B Software,22000000,Series B,Mar-20
Pager,United States,FinTech,22000000,Series B,Mar-20
Fast,United States,B2B Software,20000000,Series A,Mar-20
Leaf Logistics,United States,Logistics,20000000,Series A,Mar-20
Suki,United States,Artificial Intelligence,20000000,Series B,Mar-20
Mya Systems,United States,Artificial Intelligence,18700000,Series C,Mar-20
Second Nature,United States,E-Commerce,16399999,Series C,Mar-20
Validere,United States,Finance,15000000,Series B,Mar-20
Axis Security,United States,B2B Software,14000000,Series A,Mar-20
Helm.ai,United States,Autonomous Vehicles,13000000,Seed,Mar-20
Deepgram,United States,B2B Software,12000000,Series A,Mar-20
Quit Genius,United States,B2B Software,11000000,Series A,Mar-20
Rollbar,United States,Fitness,11000000,Series A,Mar-20
UnitQ,United States,B2B Software,11000000,Series B,Mar-20
Slync.io,United States,B2B Software,11000000,Series A,Mar-20
Finix,United States,Transportation,10000000,Series A,Mar-20
Forager,United States,FinTech,10000000,Series B,Mar-20
Moffett,United States,Logistics,10000000,Series A,Mar-20
Ride Report,United States,Cyber Security,10000000,Series A,Mar-20
ZeroNorth,United States,Artificial Intelligence,10000000,Angel,Mar-20
DisruptOPS,United States,Cyber Security,9000000,Series A,Mar-20
Allset,United States,Food and Beverage,8199999,Series B,Mar-20
Cleanshelf,United States,B2B Software,8000000,Series A,Mar-20
Zeto,United States,Health Care,7300000,Series A,Mar-20
Yaguara,United States,B2B Software,7200000,Seed,Mar-20
Pathlight,United States,B2B Software,7000000,Series A,Mar-20
Around,United States,Video Software,5200000,Seed,Mar-20
BackboneAI,United States,Artificial Intelligence,4700000,Seed,Mar-20
ProCredEx,United States,Health Care,3500000,Seed,Mar-20
Balancer Labs,United States,Blockchain,3000000,Seed,Mar-20
Zabo,United States,Blockchain,2500000,Seed,Mar-20
ZBiotics,United States,Nutraceutical,2300000,Seed,Mar-20
Sounder.fm,United States,B2B Software,1800000,Seed,Mar-20
Strata,United States,Developer Tools,1500000,Seed,Mar-20
SalesReach,United States,Sales,1200000,Seed,Mar-20
mod.io,United States,B2B Software,1000000,Seed,Mar-20
Hallo,United States,B2B Software,614000,Seed,Apr-20
Aspen Neuroscience,United States,Biotechnology,70000000,Series A,Apr-20
Concertio,United States,Artificial Intelligence,4000000,Seed,Apr-20
Phantom AI,United States,Artificial Intelligence,22000000,Series A,Apr-20
SonderMind,United States,Health Care,27000000,Series B,Apr-20
Everstream Solutions,United States,Cloud Data Services,343000000,Debt Financing,Apr-20
MixMode,United States,Artificial Intelligence,4000000,Series A,Apr-20
Cadence,United States,FinTech,4000000,Seed,Apr-20
Arturo,United States,Artificial Intelligence,8000000,Series A,Apr-20
AlertMedia,United States,Enterprise Software,15000000,Series C,Apr-20
Shippo,United States,Logistics,30000000,Series C,Apr-20
CircleCI,United States,Cloud Computing,100000000,Series E,Apr-20
Podium,United States,B2B Software,125000000,Series C,Apr-20
Sila,United States,FinTech,8000000,Seed,Apr-20
IFM Restoration,United States,Real Estate,10000000,Series A,Apr-20
Tonkean,United States,B2B Software,24000000,Series A,Apr-20
Wellpay,United States,FinTech,4000000,Seed,Apr-20
SeeQC,United States,Quantum Computing,5000000,Series A,Apr-20
Kate Farms,United States,Food and Beverage,23000000,Series A,Apr-20
Bugcrowd,United States,Cyber Security,30000000,Series D,Apr-20
Thrasio,United States,Investing,75000000,Series B,Apr-20
Cohesity,United States,Cloud Computing,250000000,Series E,Apr-20
Cloosiv,United States,Logistics,500000,Seed,Apr-20
Atlas AI,United States,Artificial Intelligence,7000000,Series A,Apr-20
Clever Leaves,United States,Cannabis,14000000,Series E,Apr-20
Beyond Identity,United States,"Clouyd Security, Software",30000000,Series A,Apr-20
Rallybio,United States,Biotechnology,93000000,Series B,Apr-20
Gembah,United States,Manufacturing,3000000,Seed,Apr-20
Alkira,United States,Cloud Computing,30000000,Series A,Apr-20
Coder,United States,Cloud Computing,30000000,Series B,Apr-20
Awake Security,United States,Cloud Security,36000000,Series C,Apr-20
Attentive,United States,B2B Software,40000000,Series C,Apr-20
Learn In,United States,Education,4000000,Seed,Apr-20
Everee,United States,FinTech,10000000,Series A,Apr-20
Parsyl,United States,Supply Chain Management,15000000,Series A,Apr-20
Greenbits,United States,Cannabis,23000000,Series B,Apr-20
Stripe,United States,FinTech,600000000,Series G,Apr-20
Benepass,United States,B2B Software,2000000,Seed,Apr-20
360VUZ,United States,3D Technology,6000000,Series A,Apr-20
Unlearn,United States,Biotechnology,12000000,Series A,Apr-20
Guru,United States,B2B Software,30000000,Series C,Apr-20
env0,United States,B2B Software,3000000,Seed,Apr-20
Oyster,United States,Recruiting,4000000,Seed,Apr-20
Biobot Analytics,United States,Biotechnology,7000000,Seed,Apr-20
Federated Wireless,United States,Cloud Computing,14000000,Series C,Apr-20
Vercel,United States,B2B Software,21000000,Series A,Apr-20
ForgeRock,United States,Cyber Security,94000000,Series E,Apr-20
Confluent,United States,B2B Software,250000000,Series E,Apr-20
Hugo,United States,B2B Software,6000000,Seed,Apr-20
XRHealth,United States,Health Care,7000000,Unknown,Apr-20
Remote,United States,B2B Software,11000000,Seed,Apr-20
Noah,United States,FinTech,150000000,Series B,Apr-20
Randori,United States,Cloud Computing,20000000,Series A,Apr-20
Digits,United States,FinTech,22000000,Series B,Apr-20
Miro,United States,B2B Software,50000000,Series B,Apr-20
AvidXchange,United States,FinTech,128000000,Series F,Apr-20
Corsight AI,United States,Artificial Intelligence,5000000,Seed,Apr-20
CureMint,United States,B2B Software,1000000,Seed,Apr-20
Walrus.ai,United States,B2B Software,4000000,Seed,Apr-20
Omura,United States,Cannabis,5000000,Seed,Apr-20
Brain Corp,United States,Robotics,36000000,Series D,Apr-20
Topia,United States,Human Resources,15000000,Series D,Apr-20
Tecton,United States,Machine Learning,20000000,Series A,Apr-20
Catalyst,United States,B2B Software,25000000,Series B,Apr-20
Niche.com,United States,Education,35000000,Series C,Apr-20
Mojo Vision,United States,Augmented Reality,51000000,Series B,Apr-20
Josh.ai,United States,Artificial Intelligence,11000000,Series A,Apr-20
Figma,United States,Design Software,50000000,Series D,Apr-20
XWING,United States,Aerospace,10000000,Series A,May-20
BeeHero,United States,Agriculture,4000000,Seed,May-20
Invisible AI,United States,Artificial Intelligence,4000000,Seed,May-20
Vise,United States,Artificial Intelligence,15000000,Series A,May-20
Deep Labs,United States,Artificial Intelligence,16000000,Series A,May-20
Lilt,United States,Artificial Intelligence,25000000,Series B,May-20
FortressIQ,United States,Artificial Intelligence,30000000,Series B,May-20
Paradox,United States,Artificial Intelligence,40000000,Series B,May-20
Directly,United States,Artificial Intelligence,11000000,Series B,May-20
DefinedCrowd,United States,Artificial Intelligence,51000000,Series B,May-20
Datch,United States,Audio Tech,3000000,Seed,May-20
Waymo,United States,Autonomous Vehicles,750000000,Unknown,May-20
ASAPP,United States,B2B Software,185000000,Series B,May-20
Procore,United States,B2B Software,150000000,Unknown,May-20
Instabug,United States,B2B Software,5000000,Series A,May-20
Daily.co,United States,B2B Software,5000000,Seed,May-20
Jellyfish,United States,B2B Software,12000000,Series A,May-20
Postal.io,United States,B2B Software,9000000,Series A,May-20
Sleuth,United States,B2B Software,3000000,Seed,May-20
Knock,United States,B2B Software,12000000,Series B,May-20
Stardog,United States,B2B Software,3000000,Series B,May-20
Groove,United States,B2B Software,12000000,Series A,May-20
IntelliBoard,United States,B2B Software,3000000,Series A,May-20
Briq,United States,B2B Software,10000000,Series A,May-20
UpKeep,United States,B2B Software,36000000,Series B,May-20
MemSQL,United States,B2B Software,50000000,Debt Financing,May-20
Truework,United States,B2B Software,30000000,Series B,May-20
Bevy,United States,B2B Software,15000000,Series B,May-20
Deel,United States,B2B Software,14000000,Series A,May-20
BetterCloud,United States,B2B Software,75000000,Series F,May-20
RapidAPI,United States,B2B Software,25000000,Series B,May-20
Brainbase,United States,B2B Software,8000000,Series A,May-20
Amplitude,United States,B2B Software,50000000,Series E,May-20
Command E,United States,B2B Software,4000000,Seed,May-20
Encamp,United States,B2B Software,3000000,Series A,May-20
Run The World,United States,B2B Software,11000000,Series A,May-20
FullStory,United States,B2B Software,10000000,Unknown,May-20
Spectrm,United States,B2B Software,3000000,Series A,May-20
Gatsby,United States,B2B Software,28000000,Series B,May-20
Census,United States,B2B Software,4000000,Seed,May-20
Baton,United States,B2B Software,10000000,Series A,May-20
LaterPay,United States,B2B Software,10000000,Unknown,May-20
RudderStack,United States,B2B Software,5000000,Seed,May-20
Nanit,United States,Baby,21000000,Series B,May-20
SQZ Biotech,United States,Biotechnology,65000000,Series D,May-20
ChromaCode,United States,Biotechnology,10000000,Series C,May-20
Benchling,United States,Biotechnology,50000000,Series D,May-20
NEAR,United States,Blockchain,22000000,ICO,May-20
Lolli,United States,Blockchain,3000000,Seed,May-20
Blockdaemon,United States,Blockchain,6000000,Unknown,May-20
FalconX,United States,Blockchain,17000000,Unknown,May-20
TokenSoft,United States,Blockchain,4000000,Unknown,May-20
Magic,United States,Blockchain,4000000,Seed,May-20
Charityvest,United States,Charity,1000000,Pre-Seed,May-20
GigaSpaces,United States,Cloud Computing,12000000,Unknown,May-20
Virtana,United States,Cloud Computing,15000000,Unknown,May-20
DigitalOcean,United States,Cloud Computing,50000000,Series C,May-20
Couchbase,United States,Cloud Computing,105000000,Series G,May-20
Skyflow,United States,Cloud Security,8000000,Seed,May-20
Enview,United States,Computer Vision,12000000,Unknown,May-20
MakeSpace,United States,Consumer,45000000,Series E,May-20
Coalition,United States,Cyber Security,90000000,Series C,May-20
Synack,United States,Cyber Security,52000000,Series D,May-20
Tugboat Logic,United States,Cyber Security,8000000,Series A,May-20
Nautilus Data,United States,Data Center,100000000,Debt Financing,May-20
Yardbird,United States,E-Commerce,4000000,Unknown,May-20
Bluecore,United States,E-Commerce Platforms,50000000,Series D,May-20
Tapcart,United States,E-Commerce Software,10000000,Series A,May-20
Ecwid,United States,E-Commerce Software,42000000,Unknown,May-20
Quizlet,United States,Education,30000000,Series C,May-20
MasterClass,United States,Education,100000000,Series E,May-20
Tankfarm,United States,Energy,4000000,Series A,May-20
Robinhood,United States,FinTech,280000000,Series F,May-20
Treasury Prime,United States,FinTech,9000000,Series A,May-20
Clyde,United States,FinTech,14000000,Series A,May-20
Aspiration,United States,FinTech,135000000,Series C,May-20
Brex,United States,FinTech,150000000,Series C,May-20
Unifimoney,United States,FinTech,1000000,Pre-Seed,May-20
Fundbox,United States,FinTech,20000000,Series C,May-20
Tock,United States,Food and Beverage,10000000,Series C,May-20
Mindstrong,United States,Health Care,100000000,Series C,May-20
Tia,United States,Health Care,24000000,Series A,May-20
Insitro,United States,Health Care,143000000,Series B,May-20
VNDLY,United States,Human Resources,9000000,Series B,May-20
Compt,United States,Human Resources,2000000,Seed,May-20
Workstream,United States,Human Resources,10000000,Series A,May-20
Human Interest,United States,Human Resources,10000000,Series C,May-20
Almanac,United States,Knowledge Management,9000000,Seed,May-20
DispatchTrack,United States,Logistics,144000000,Unknown,May-20
AerialSphere,United States,Mapping,5000000,Series A,May-20
Stringr,United States,Media,6000000,Series A,May-20
Homeward,United States,Real Estate,85000000,Debt Financing,May-20
States Title,United States,Real Estate,123000000,Series C,May-20
Spruce Holdings,United States,Real Estate,29000000,Series B,May-20
SmartRent,United States,Real Estate,60000000,Series C,May-20
Traitify,United States,Recruiting,12000000,Series B,May-20
SVT Robotics,United States,Robotics,4000000,Seed,May-20
Covariant,United States,Robotics,40000000,Series B,May-20
Tripgrid,United States,Travel,2000000,Series A,May-20
Big Sky Health,United States,Wellness,8000000,Series A,May-20
Ezra AI,United States,Artificial Intelligence,18000000,Series A,Jun-20
Bonusly,United States,Human Resources,9000000,Series A,Jun-20
Spaced Ventures,United States,Venture Capital,150000,Pre-Seed,Jun-20
Vetty,United States,B2B Software,4000000,Seed,Jun-20
Locus Robotics,United States,Robotics,40000000,Series D,Jun-20
1touch.io,United States,Artificial Intelligence,14000000,Series A,Jun-20
Anvil,United States,B2B Software,5000000,Series A,Jun-20
Betterview,United States,B2B Software,7500000,Series B,Jun-20
Lili,United States,FinTech,10000000,Seed,Jun-20
Varo Money,United States,FinTech,241000000,Series D,Jun-20
CAST AI,United States,B2B Software,7664035,Seed,Jun-20
Hyperscience,United States,Business Intelligence,60000000,Series C,Jun-20
Inky,United States,Cyber Security,20000000,Series B,Jun-20
ClassTag,United States,B2B Software,5000000,Seed,Jun-20
Chargeback,United States,Fraud Detection,6600000,Series A,Jun-20
Squire,United States,B2B Software,27000000,Series B,Jun-20
DNAnexus,United States,Biotechnology,100000000,Series G,Jun-20
Yugabyte,United States,Cloud Computing,30000000,Series B,Jun-20
M1 Finance,United States,FinTech,33000000,Series B,Jun-20
Planck,United States,Artificial Intelligence,16000000,Series B,Jun-20
EnsoData,United States,Artificial Intelligence,9000000,Series A,Jun-20
Canopy,United States,B2B Software,1907983,Seed,Jun-20
Transcend,United States,B2B Software,25000000,Series A,Jun-20
Flatfile,United States,B2B Software,7600000,Seed,Jun-20
Domino Data Lab,United States,B2B Software,43000000,Series E,Jun-20
Vendr,United States,B2B Software,4000000,Seed,Jun-20
Cue,United States,Biotechnology,100000000,Series C,Jun-20
NS8,United States,Cyber Security,123000000,Series A,Jun-20
Intellispark,United States,Education,2300000,Seed,Jun-20
Protera,United States,Food and Beverage,5600000,Series A,Jun-20
Alpha Health,United States,Health Care,20000000,Series A,Jun-20
RapidSOS,United States,Health Care,21000000,Series C,Jun-20
SuperAnnotate,United States,Artificial Intelligence,3000000,Seed,Jun-20
Postman,United States,B2B Software,150000000,Series C,Jun-20
Quolum,United States,B2B Software,2750000,Seed,Jun-20
Ethyca,United States,Cyber Security,13500000,Series A,Jun-20
Headspace,United States,Health Care,47700000,Series C,Jun-20
WiBotic,United States,Robotics,5700000,Series A,Jun-20
Augmedics,United States,Augmented Reality,15000000,Series B,Jun-20
Shattuck Labs,United States,Biotechnology,118000000,Series B,Jun-20
Kalderos,United States,Health Care,28000000,Series B,Jun-20
Localised,United States,Marketing,6500000,Series A,Jun-20
Streamlit,United States,B2B Software,21000000,Series A,Jun-20
Clockwise,United States,B2B Software,18000000,Series B,Jun-20
DeepSource,United States,B2B Software,2600000,Seed,Jun-20
Starburst,United States,B2B Software,42000000,Series B,Jun-20
Salt Security,United States,Cloud Security,20000000,Series A,Jun-20
Hydrow,United States,Fitness,25000000,Series B,Jun-20
Akia,United States,Hospitality,1000000,Seed,Jun-20
IonQ,United States,Quantum Computing,7000000,Series B,Jun-20
Onna,United States,B2B Software,27000000,Series B,Jun-20
Arena.im,United States,B2B Software,2300000,Seed,Jun-20
River Financial,United States,Blockchain,5700000,Seed,Jun-20
Unum ID,United States,Blockchain,2000000,Seed,Jun-20
DroneBase,United States,Drones,7500000,Series C,Jun-20
Pagaya Investments,United States,FinTech,102000000,Series D,Jun-20
Botkeeper,United States,Accounting,25000000,Series B,Jun-20
HASH,United States,Artificial Intelligence,2500000,Seed,Jun-20
Urbint,United States,Artificial Intelligence,20000000,Series B,Jun-20
Maystreet,United States,B2B Software,21000000,Series A,Jun-20
Acquire,United States,B2B Software,6400000,Series A,Jun-20
Big Health,United States,Fitness,39000000,Series B,Jun-20
Kaia Health,United States,Wellbeing,26000000,Series B,Jun-20
CrossTower,United States,FinTech,6000000,Seed,Jun-20
Rasa,United States,Artificial Intelligence,26000000,Series B,Jun-20
Urjanet,United States,B2B Software,14650000,Series D,Jun-20
Nylas,United States,B2B Software,25000000,Series B,Jun-20
Humanly,United States,B2B Software,800000,Seed,Jun-20
BrightInsight,United States,Health Care,40000000,Series B,Jun-20
ClickUp,United States,B2B Software,35000000,Series A,Jun-20
Cape Privacy,United States,B2B Software,5000000,Seed,Jun-20
Lightrun,United States,B2B Software,4000000,Seed,Jun-20
Trusting Social,United States,FinTech,19000000,Series B,Jun-20
Pipe,United States,FinTech,60000000,Seed,Jun-20
OJO,United States,Real Estate,62500000,Series D,Jun-20
HelloOffice,United States,Real Estate,20000000,Series A,Jun-20
FireStart,United States,B2B Software,4486155,Series A,Jun-20
Capital Markets Gateway,United States,FinTech,25000000,Series B,Jun-20
Karat,United States,FinTech,4600000,Seed,Jun-20
Candidate Labs,United States,Recruiting,5000000,Seed,Jun-20
Codefresh,United States,Developer Tools,27000000,Series C,Jun-20
Area 1 Security,United States,Cyber Security,25000000,Series D,Jun-20
Cynet,United States,Cyber Security,18000000,Series B,Jun-20
Aclaimant,United States,B2B Software,10000000,Series A,Jun-20
Nacelle,United States,E-Commerce Platform,4800000,Seed,Jun-20
Fivetran,United States,B2B Software,100000000,Series C,Jun-20
Discord,United States,Social Network,100000000,Unknown,Jun-20
Scalefast,United States,E-Commerce Platform,22000000,Series B,Jun-20
NexHealth,United States,B2B Software,15000000,Series A,Jun-20
Upsolver,United States,B2B Software,13300000,Series A,Jun-20
Elementary Robotics,United States,Artificial Intelligence,12700000,Series A,Jun-20
Bluedot,United States,B2B Software,9100000,Series B,Jun-20
Capital,United States,Investing,9000000,Seed,Jun-20
Pattern89,United States,B2B Software,2000000,Seed,Jun-20
Anduril Industries,United States,Aerospace,200000000,Series C,Jul-20
Density,United States,Analytics,51000000,Series C,Jul-20
Huddl,United States,Artificial Intelligence,6000000,Seed,Jul-20
Shelf Engine,United States,Artificial Intelligence,12000000,Series A,Jul-20
Signum.ai,United States,Artificial Intelligence,500000,Seed,Jul-20
Simply Speak,United States,Artificial Intelligence,1000000,Seed,Jul-20
FraudScope,United States,Artificial Intelligence,7000000,Series A,Jul-20
Sea Machines Robotics,United States,Autonomous Vehicles,15000000,Series B,Jul-20
Sibros,United States,Autonomous Vehicles,12000000,Series A,Jul-20
Mosaic,United States,B2B Softare,100000,Seed,Jul-20
Turbo Systems,United States,B2B Softare,3000000,Series A,Jul-20
Hevo Data,United States,B2B Software,8000000,Series A,Jul-20
Chorus.ai,United States,B2B Software,45000000,Series C,Jul-20
boostr,United States,B2B Software,7000000,Series A,Jul-20
Paragon,United States,B2B Software,3000000,Seed,Jul-20
Ceros,United States,B2B Software,100000000,Unknown,Jul-20
effx,United States,B2B Software,4000000,Seed,Jul-20
Epsagon,United States,B2B Software,10000000,Unknown,Jul-20
Grid Raster,United States,B2B Software,3000000,Unknown,Jul-20
Matik,United States,B2B Software,3000000,Seed,Jul-20
Quorum,United States,B2B Software,2000000,Seed,Jul-20
Sift,United States,B2B Software,3000000,Series A,Jul-20
Talkdesk,United States,B2B Software,143000000,Series C,Jul-20
Macro,United States,B2B Software,4000000,Seed,Jul-20
Openpath,United States,B2B Software,36000000,Series C,Jul-20
MadKudu,United States,B2B Software,6000000,Series A,Jul-20
Qumulo,United States,B2B Software,125000000,Series E,Jul-20
Lattice,United States,B2B Software,45000000,Series D,Jul-20
1sm,United States,B2B Software,375000,Pre-Seed,Jul-20
Quaestor,United States,B2B Software,6000000,Seed,Jul-20
Puppet,United States,B2B Software,40000000,Debt Financing,Jul-20
Trackstreet,United States,B2B Software,5000000,Seed,Jul-20
VideoPeel,United States,B2B Software,2000000,Seed,Jul-20
Sourcegraph,United States,B2B Software,5000000,Series B,Jul-20
TileDB,United States,B2B Software,15000000,Series A,Jul-20
Tenovos,United States,B2B Software,4000000,Series A,Jul-20
Docket,United States,B2B Software,1000000,Seed,Jul-20
Jika,United States,B2B Software,150000,Pre-Seed,Jul-20
LogDNA,United States,B2B Software,25000000,Series C,Jul-20
onetool,United States,B2B Software,900000,Pre-Seed,Jul-20
OwnBackup,United States,B2B Software,50000000,Series D,Jul-20
SetSail,United States,B2B Software,7000000,Series A,Jul-20
Zomentum,United States,B2B Software,4000000,Seed,Jul-20
ChannelMeter,United States,B2B Software,4000000,Seed,Jul-20
Glympse Bio,United States,Biotechnology,47000000,Series B,Jul-20
Qualio,United States,Biotechnology,11000000,Series A,Jul-20
Adagio Therapeutics,United States,Biotechnology,50000000,Series A,Jul-20
Teller Finance,United States,Blockchain,1000000,Seed,Jul-20
Chainalysis,United States,Blockchain,13000000,Series B,Jul-20
Curv,United States,Blockchain,23000000,Series A,Jul-20
env0,United States,Cloud Computing,4000000,Seed,Jul-20
Stack Overflow,United States,Communities,85000000,Series E,Jul-20
Cover Technologies,United States,Construction,10000000,Series A,Jul-20
Eterneva,United States,Consumer,3000000,Seed,Jul-20
Nasuni,United States,Cyber Security,25000000,Unknown,Jul-20
Ermetic,United States,Cyber Security,17000000,Series A,Jul-20
RangeForce,United States,Cyber Security,16000000,Series A,Jul-20
Whistic,United States,Cyber Security,12000000,Series A,Jul-20
Sotero,United States,Cyber Security,5000000,Seed,Jul-20
Auth0,United States,Cyber Security,120000000,Series F,Jul-20
Second Front Systems,United States,Cyber Security,6000000,Seed,Jul-20
Vendia,United States,Developer Tools,5000000,Seed,Jul-20
Skydio,United States,Drones,100000000,Series C,Jul-20
CALA,United States,E-Commerce,3000000,Seed,Jul-20
Bolt,United States,E-commerce Software,50000000,Series C,Jul-20
TeleTeachers,United States,Education,3000000,Series A,Jul-20
Guideline,United States,FinTech,80000000,Series D,Jul-20
Remitly,United States,FinTech,85000000,Series F,Jul-20
Mantl,United States,FinTech,11000000,Series A,Jul-20
Meemo,United States,FinTech,10000000,Seed,Jul-20
Privacy.com,United States,FinTech,10000000,Series A,Jul-20
Robinhood,United States,FinTech,320000000,Series F,Jul-20
Bond,United States,FinTech,32000000,Series A,Jul-20
Icon,United States,FinTech,3000000,Seed,Jul-20
Point Card,United States,FinTech,11000000,Series A,Jul-20
"Ready, Set, Food!",United States,Food and Beverage,3000000,Seed,Jul-20
Crisp,United States,Food and Beverage,12000000,Series A,Jul-20
Mori,United States,Food and Beverage,12000000,Series A,Jul-20
Athlane,United States,Gaming,3000000,Seed,Jul-20
Ro,United States,Health Care,200000000,Series C,Jul-20
Kindbody,United States,Health Care,32000000,Series B,Jul-20
Truepill,United States,Health Care,25000000,Series B,Jul-20
Opus,United States,Human Resources,2000000,Seed,Jul-20
Angle Health,United States,Insurance,4000000,Seed,Jul-20
Hippo,United States,Insurance,150000000,Series E,Jul-20
Start Sure,United States,Insureance,100000,Seed,Jul-20
Thrasio,United States,Investing,260000000,Series C,Jul-20
Quaestor,United States,Investing,6000000,Seed,Jul-20
Dispatch,United States,Logistics,11000000,Series B,Jul-20
Instrumental,United States,Manufacturing,20000000,Series B,Jul-20
Torre,United States,Marketplace,5000000,Seed,Jul-20
Kernel,United States,Neuroscience,53000000,Series C,Jul-20
Turing,United States,Recruiting,5000000,Seed,Jul-20
Gem,United States,Recruiting,37000000,Series B,Jul-20
Jobcase,United States,Recruiting,30000000,Series B,Jul-20
The Mom Project,United States,Recruiting,25000000,Series B,Jul-20
Competitive Wedge,United States,Recruiting,1000000,Seed,Jul-20
Replenysh,United States,Recycling,2000000,Seed,Jul-20
Dexterity,United States,Robotics,56000000,Series A,Jul-20
CY Vision,United States,Transportation,5000000,Unknown,Jul-20
Immertec,United States,Virtual Reality,6000000,Series A,Jul-20
The Browser Company,United States,Web Browsers,5000000,Seed,Jul-20
Tempo,United States,Wellness,60000000,Series B,Jul-20
Real,United States,Wellness,6000000,Seed,Jul-20
Ergatta,United States,Wellness,5000000,Seed,Jul-20
SpaceX,United States,Aerospace,1901446920,Unknown,Aug-20
Truera,United States,Artificial Intelligence,5100000,Series A,Aug-20
Syntiant,United States,Artificial Intelligence,35000000,Series C,Aug-20
Hiretual,United States,Artificial Intelligence,13000000,Series B,Aug-20
LitLingo,United States,Artificial Intelligence,2000000,Seed,Aug-20
Sift Healthcare,United States,Artificial Intelligence,2800000,Series A,Aug-20
Aetion,United States,Artificial Intelligence,19000000,Series B,Aug-20
